geom,angle,chord,span,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:02,0.0,16,6,True,0.0012403,0.007181378926563045,0.0213,-2.5496496128721944,-0.01831,0.01904,0.308489,3.941633,-1.858029,-0.317099,-4.538106,0.001006,0.014002,-0.009244,-0.003515,1.4e-05,-0.000506,-0.0004013,-0.0004873,83.61112353700082
lhs30s2000:02,4.0,8,2,True,0.0058629,0.012263229904295061,0.8447,20.7816376263762,0.25485,-0.10969,0.308857,3.939624,-1.859301,-0.317201,-4.553407,0.00246,0.01359,-0.009053,-0.003426,6.6e-05,-0.000753,-0.0007993,-0.0005687,2.9978095930018753
lhs30s2000:02,4.0,8,4,True,0.0058766,0.012279791106184268,0.8426,20.725108253008504,0.2545,-0.10951,0.308732,3.931169,-1.854561,-0.315199,-4.545549,0.002461,0.013579,-0.009049,-0.003418,6.5e-05,-0.000749,-0.0007968,-0.0005679,11.4098809490024
lhs30s2000:02,4.0,8,6,True,0.0058814,0.012284421440751293,0.8419,20.707527922816247,0.25438,-0.10945,0.308693,3.928424,-1.853028,-0.314545,-4.543022,0.002461,0.013577,-0.009049,-0.003416,6.5e-05,-0.000747,-0.000796,-0.0005677,24.11085003900007
lhs30s2000:02,4.0,12,2,True,0.0059631,0.012368894035845599,0.8433,20.71971829148906,0.25628,-0.11046,0.308718,3.939956,-1.858622,-0.317196,-4.551796,0.00246,0.013826,-0.009144,-0.003482,6.4e-05,-0.000759,-0.0007045,-0.0004825,6.758400126000197
lhs30s2000:02,4.0,12,4,True,0.0059752,0.012383857283066553,0.8412,20.66642033657427,0.25593,-0.11028,0.308594,3.931323,-1.853801,-0.315159,-4.543757,0.002464,0.013812,-0.009139,-0.003472,6.4e-05,-0.000754,-0.0007024,-0.0004818,24.036828610998782
lhs30s2000:02,4.0,12,6,True,0.0059796,0.012388083378942627,0.8405,20.64887619620087,0.2558,-0.11022,0.308553,3.928485,-1.852219,-0.314488,-4.541126,0.002465,0.013809,-0.009138,-0.00347,6.4e-05,-0.000753,-0.0007017,-0.0004816,50.030376587998035
lhs30s2000:02,4.0,16,2,True,0.0060326,0.012442272465098613,0.8412,20.672268729164294,0.25721,-0.11091,0.308677,3.940113,-1.858447,-0.317199,-4.551369,0.002451,0.014022,-0.009254,-0.00353,6.3e-05,-0.000764,-0.0007265,-0.0004888,11.69674176099943
lhs30s2000:02,4.0,16,4,True,0.0060438,0.012456363772497769,0.8391,20.619982258955503,0.25685,-0.11072,0.308554,3.931391,-1.853592,-0.315145,-4.543238,0.002455,0.014007,-0.009247,-0.00352,6.3e-05,-0.000759,-0.0007245,-0.0004882,40.43129201099873
lhs30s2000:02,4.0,16,6,True,0.0060479,0.012460267244062843,0.8384,20.603089401820316,0.25672,-0.11066,0.308513,3.928502,-1.851984,-0.314464,-4.540555,0.002457,0.014004,-0.009246,-0.003517,6.3e-05,-0.000758,-0.0007237,-0.000488,83.8005663949989
lhs30s2000:03,-2.0,8,2,True,0.0030245,0.009475543592595372,0.6244,-14.54059059025043,-0.13778,0.0677,0.28414,3.401837,-1.410341,-0.265246,-3.472879,0.0018,0.009467,-0.005849,-0.002174,3e-06,-0.000148,-0.0001559,-0.0003206,2.741781815999275
lhs30s2000:03,-2.0,8,4,True,0.0030155,0.009468711130251235,0.6244,-14.52151175683313,-0.1375,0.06755,0.283932,3.386922,-1.403131,-0.263324,-3.459955,0.001791,0.009445,-0.005841,-0.002163,3e-06,-0.000148,-0.0001513,-0.0003184,10.705635315000109
lhs30s2000:03,-2.0,8,6,True,0.0030125,0.009474441967053326,0.6246,-14.504284313299708,-0.13742,0.06751,0.28386,3.38188,-1.400684,-0.262672,-3.455614,0.001786,0.009436,-0.005837,-0.002159,3e-06,-0.000149,-0.0001496,-0.0003176,22.462766551998357
lhs30s2000:03,-2.0,12,2,True,0.0030519,0.009493163042163516,0.6158,-14.382982720676225,-0.13654,0.06696,0.28399,3.402593,-1.409909,-0.265294,-3.47154,0.001806,0.00968,-0.005932,-0.00222,-2e-06,-0.000144,-0.0001362,-0.0003072,6.35717186400143
lhs30s2000:03,-2.0,12,4,True,0.0030402,0.009482980828600576,0.6157,-14.367845138848258,-0.13625,0.06682,0.283792,3.387741,-1.402777,-0.263376,-3.458692,0.001799,0.009656,-0.005923,-0.002209,-2e-06,-0.000144,-0.0001318,-0.0003051,22.579825480999716
