"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          58,       -11.3250642,      -9.681319454,      -10.29435475,      -10.97842928,      -12.47948057,      -5.458074954,      -3.431603016,    9.94989061e-05,       6.460275068,                40,                40,                40,    0.001789260784,     0.01074484246,      0.6048832804,                 0,                 0,                 0,     0.07810292683,    -0.01037182506,      0.6048897914,                 0,       56.29522098,    0.002390236486
          0,           0,          59,      -11.32497454,      -9.681320716,      -10.29426699,      -10.97834363,      -12.47947818,      -5.458111845,      -3.431536255,   9.949890663e-05,       6.460275069,                40,                40,                40,    0.001789260784,     0.01074443772,      0.6048776003,                 0,                 0,                 0,     0.07810216639,    -0.01037203132,      0.6048841006,                 0,       56.29681292,    0.002390236486
          0,           0,          60,      -11.32488609,      -9.681321945,      -10.29417926,      -10.97825893,      -12.47947571,      -5.458148699,      -3.431469778,   9.949890715e-05,        6.46027507,                40,                40,                40,    0.001789260784,     0.01074403332,      0.6048719186,                 0,                 0,                 0,     0.07810140588,    -0.01037223718,      0.6048784083,                 0,       56.29840307,    0.002390236486
          0,           0,          61,       -11.3247995,       -9.68132314,      -10.29409156,      -10.97817598,      -12.47947316,      -5.458185518,      -3.431403573,   9.949890768e-05,       6.460275072,                40,                40,                40,    0.001789260784,     0.01074362926,      0.6048662354,                 0,                 0,                 0,      0.0781006453,    -0.01037244265,      0.6048727144,                 0,       56.29999141,    0.002390236486
          0,           0,          62,      -11.32471454,      -9.681324302,      -10.29400389,      -10.97809454,      -12.47947053,        -5.4582223,      -3.431337626,   9.949890821e-05,       6.460275073,                40,                40,                40,    0.001789260784,     0.01074322555,      0.6048605506,                 0,                 0,                 0,     0.07809988465,    -0.01037264773,      0.6048670191,                 0,       56.30157796,    0.002390236486
          0,           0,          63,      -11.32463136,       -9.68132543,      -10.29391625,      -10.97801485,      -12.47946782,      -5.458259047,      -3.431271941,   9.949890873e-05,       6.460275074,                40,                40,                40,    0.001789260784,     0.01074282217,      0.6048548643,                 0,                 0,                 0,     0.07809912393,    -0.01037285241,      0.6048613222,                 0,       56.30316271,    0.002390236486
          0,           0,          64,      -11.32454989,      -9.681326525,      -10.29382865,      -10.97793691,      -12.47946503,      -5.458295757,      -3.431206482,   9.949890926e-05,       6.460275075,                40,                40,                40,    0.001789260784,     0.01074241912,      0.6048491765,                 0,                 0,                 0,     0.07809836315,    -0.01037305671,      0.6048556238,                 0,       56.30474566,    0.002390236486
          0,           0,          65,      -11.32446986,      -9.681327587,      -10.29374109,      -10.97786051,      -12.47946216,      -5.458332432,      -3.431141256,   9.949890979e-05,       6.460275076,                40,                40,                40,    0.001789260784,     0.01074201642,      0.6048434872,                 0,                 0,                 0,      0.0780976023,    -0.01037326061,      0.6048499239,                 0,       56.30632682,    0.002390236486
          0,           0,          66,      -11.32439102,      -9.681328615,      -10.29365358,      -10.97778538,      -12.47945921,      -5.458369072,      -3.431076254,   9.949891031e-05,       6.460275077,                40,                40,                40,    0.001789260784,     0.01074161405,      0.6048377964,                 0,                 0,                 0,     0.07809684139,    -0.01037346413,      0.6048442225,                 0,       56.30790619,    0.002390236486
          0,           0,          67,      -11.32431719,      -9.681329613,      -10.29356608,      -10.97771579,      -12.47945618,      -5.458405675,      -3.431011472,   9.949891084e-05,       6.460275078,                40,                40,                40,    0.001789260784,     0.01074121202,      0.6048321041,                 0,                 0,                 0,     0.07809608041,    -0.01037366726,      0.6048385196,                 0,       56.30948379,    0.002390236486
          0,           0,          68,      -11.32423493,      -9.681330579,      -10.29347862,       -10.9776357,      -12.47945307,      -5.458442243,      -3.430946822,   9.949891137e-05,       6.460275079,                40,                40,                40,    0.001789260784,     0.01074081032,      0.6048264103,                 0,                 0,                 0,     0.07809531937,    -0.01037387001,      0.6048328153,                 0,       56.31105963,    0.002390236486
          0,           0,          69,      -11.32415667,      -9.681331513,       -10.2933912,      -10.97756139,      -12.47944988,      -5.458478775,      -3.430882401,   9.949891189e-05,       6.460275081,                40,                40,                40,    0.001789260784,     0.01074040895,       0.604820715,                 0,                 0,                 0,     0.07809455826,    -0.01037407237,      0.6048271094,                 0,       56.31263372,    0.002390236486
          0,           0,          70,      -11.32408055,      -9.681332414,      -10.29330382,      -10.97748998,      -12.47944661,      -5.458515272,      -3.430818194,   9.949891242e-05,       6.460275082,                40,                40,                40,    0.001789260784,      0.0107400079,      0.6048150182,                 0,                 0,                 0,     0.07809379708,    -0.01037427435,      0.6048214021,                 0,       56.31420607,    0.002390236486
          0,           0,          71,      -11.32400343,      -9.681333282,      -10.29321647,      -10.97741742,      -12.47944327,      -5.458551733,      -3.430754197,   9.949891294e-05,       6.460275083,                40,                40,                40,    0.001789260784,     0.01073960718,      0.6048093199,                 0,                 0,                 0,     0.07809303582,    -0.01037447596,      0.6048156933,                 0,        56.3157767,    0.002390236486
