case,kind,policy,placement_n_sections,ramp_fraction,max_gap_ratio,sections_in_band,solver_n_strips,solver_n_vortices,worst_all_error,worst_control_error,err_CL,err_CDind,err_CDtotal,err_Cm,err_e,err_Xnp,err_CLa,err_Cma,err_Clp,err_Cmq,err_Cnb,err_CL_de,err_Cm_de,err_Cl_da,err_Cn_da,err_CY_da
random_1001,random,proposed_max_channel_w3,25,0.19575711197556347,2.3260022485262555,8,192,4608,0.007999999999999978,0.007999999999999978,0.004001630293823504,0.002594619930028941,0.0035837265979319693,0.0,0.005559119093435944,0.00038408092455617394,0.0017295899459806887,0.00222587369836639,0.0020450321608944146,0.004879799599850736,0.0022267899965741677,0.003027405991077106,0.006300630063006356,0.005487804878048716,0.0,0.007999999999999978
random_1001,random,proposed_sqrt_sum_w3_no_thickness,25,0.1805197592231754,1.9209568877494188,8,192,4608,0.005559119093435944,0.004000000000000097,0.003964725062991016,0.004161583072886273,0.0029072249015112237,0.0012046983234615901,0.005559119093435944,0.00021577580031253936,0.0014367870519240628,0.001825101926439797,0.0017583131248230881,0.004103714444064126,0.0008576329331045963,0.000478011472275398,0.0030003000300030083,0.0036585365853658105,0.0,0.004000000000000097
random_1001,random,proposed_max_channel_w3_no_thickness,25,0.15645238455891394,2.2214957586219537,8,192,4608,0.007999999999999978,0.007999999999999978,0.00040904358173434103,0.0005874060150375992,0.002938299327876444,0.006231782088652081,0.0046013911182450195,0.00030208612043748325,0.0017436315251609198,0.0020859216510269044,0.0018101298180889466,0.0048512460621103065,0.0029099623416637545,0.003664754620777637,0.0072007200720072455,0.0036585365853658105,0.0,0.007999999999999978
random_1001,random,proposed_sqrt_sum_w1,25,0.13396726307472637,1.7457709272185333,6,192,4608,0.018181818181818254,0.018181818181818254,0.0043336543447662955,0.002644705567272579,0.003023100175980909,0.0027064955894146587,0.007892491467576751,0.0001337809961937289,0.001322212245644614,0.0010719054534859425,0.0017928575870001992,0.0026629029296786804,0.0017137960582689963,0.015220461321198786,0.013029315960911985,0.013830426939266397,0.018181818181818254,0.011857707509881495
random_1001,random,proposed_sqrt_sum_w0,25,0.63575919543565,2.0031602199054914,4,192,4608,0.018181818181818254,0.018181818181818254,0.001782465000556948,0.00041939975507052595,0.0018224751350110462,0.0004018888777252926,0.0020384078961484956,9.062583613131685e-05,0.0004509627445186433,0.0011673273039445543,0.0003729410545944162,0.0024904395617260724,0.0018848526387936473,0.010406811731315056,0.00833085391252598,0.009063444108761353,0.018181818181818254,0.007936507936507914
random_1001,random,proposed_sqrt_sum_w3_gap15,25,0.46699654191516166,1.5594280057047434,5,192,4608,0.0060183718720303835,0.0060183718720303835,0.0025602968460112204,0.0038619075482738204,0.00257042341106342,0.0027064955894146587,0.0020384078961484956,8.199480411881048e-05,0.00043905064304264384,0.00020674734266044306,0.0007559518261931068,0.0005222442052737534,0.0003433476394850241,0.0060183718720303835,0.005668257756563222,0.004250151791135435,0.0,0.003984063745019801
random_1002,random,uniform_pinned25,25,0.16752191683699044,1.451849302814555,8,192,4608,0.009216589861751126,0.009216589861751126,0.0031271156388021095,0.00284776924742284,0.00309165570032316,0.0036441693290735246,0.005044439106413621,3.0311021391359406e-06,4.451397935338928e-05,0.0007145094446094565,9.782526901951801e-05,0.0012557533056344002,0.0012406947890818711,0.0065188011765641525,0.005911487458060347,0.00857878181298258,0.007843137254901938,0.009216589861751126
random_1002,random,current_sum_sqrt_w3,25,0.15769055489800032,1.9174370160762422,10,192,4608,0.011170041787206705,0.011170041787206705,0.001678827403628916,0.0077493486538847385,0.0033340916473082556,0.0017034921589256938,0.0030178657653308276,1.5155510695343183e-05,0.0005480749874757436,0.0018690292945749143,0.001876422054481529,0.0038373023876965254,0.0018598884066956657,0.0092822277346563,0.011170041787206705,0.005768676088837627,0.00395256916996057,0.0
random_1002,random,proposed_sqrt_sum_w3,25,0.15352731449209273,1.9235263976019263,10,192,4608,0.01044680167148826,0.01044680167148826,0.0018399560992931176,0.00708130135613597,0.0026610870055389863,0.0008517460794629164,0.002776436504104394,1.2124408556207243e-05,0.0005258409037919426,0.0015077148595167107,0.0015452887507494536,0.0032966656253305775,0.0020661157024792548,0.008882131711610786,0.01044680167148826,0.005191808479953914,0.00395256916996057,0.0
random_1002,random,proposed_max_channel_w3,25,0.10998605843869406,1.9429377354635058,10,192,4608,0.0068306010928961755,0.0068306010928961755,0.00258047867879499,0.006763978889705347,0.001960248856012839,0.0001503081316699346,0.0007242877836794361,2.4248817112414486e-05,0.0006483340562486803,0.0016063971079855605,0.0015176943087718269,0.003453378535593017,0.002478314745972709,0.005041209890373596,0.0068306010928961755,0.0020190366310931817,0.0,0.004629629629629617
