policy,geometry_index,attempts,seconds,accepted_template,accepted_quality,reached_preferred,succeeded,stopped_early
learned ranking + accept-first-valid (design only),1,1,23.859756334999474,41,0.20897439162686468,True,True,False
learned ranking + accept-first-valid (design only),2,1,19.411246898000172,68,0.17668039200670344,True,True,False
learned ranking + accept-first-valid (design only),3,1,20.24055423899881,42,0.2131881110927137,True,True,False
learned ranking + accept-first-valid (design only),4,1,19.998775619998924,42,0.23153874382044373,True,True,False
learned ranking + accept-first-valid (design only),5,1,19.490374771999996,2,0.2098118459126222,True,True,False
learned ranking + accept-first-valid (design only),6,1,24.16490584300118,41,0.2332847751968215,True,True,False
learned ranking + accept-first-valid (design only),7,2,32.76618905000032,95,0.1537358946331951,True,True,False
learned ranking + accept-first-valid (design only),8,1,22.004087326000445,8,0.2250290156545478,True,True,False
learned ranking + accept-first-valid (design only),9,1,20.01738314300019,42,0.24083434770609752,True,True,False
learned ranking + accept-first-valid (design only),10,1,25.194722631998957,56,0.21779897553921623,True,True,False
learned ranking + accept-first-valid (design only),11,1,19.68713983699854,2,0.1628320393122548,True,True,False
learned ranking + accept-first-valid (design only),12,1,19.7023651340005,90,0.13796656233419458,False,True,True
learned ranking + accept-first-valid (design only),13,1,19.723314152999592,2,0.17164621766216775,True,True,False
learned ranking + accept-first-valid (design only),14,1,19.93785676599873,85,0.21740407651408666,True,True,False
learned ranking + accept-first-valid (design only),15,1,20.404020526999375,43,0.22427206226025667,True,True,False
learned ranking + accept-first-valid (design only),16,1,17.235330273999352,16,0.22061175480861958,True,True,False
learned ranking + accept-first-valid (design only),17,1,24.747335797001142,56,0.23448174702235605,True,True,False
learned ranking + accept-first-valid (design only),18,1,19.296191856001315,2,0.19539841780699382,True,True,False
learned ranking + accept-first-valid (design only),19,1,20.16727828599869,42,0.22278313346714682,True,True,False
learned ranking + accept-first-valid (design only),20,1,20.024505577999662,88,0.1870934153408419,True,True,False
learned ranking + accept-first-valid (design only),21,2,23.97809972900177,41,0.23337093780893794,True,True,False
learned ranking + accept-first-valid (design only),22,1,25.784067511000103,92,0.18632440061177116,True,True,False
learned ranking + accept-first-valid (design only),23,1,20.00266772299983,42,0.2350409558422074,True,True,False
